Annotation_Accession,host,isolation_source,Manual_Annotation
GCA_002948655.1_ASM294865v1,NA,NA,NA
GCA_002214305.1_ASM221430v1,Atlantic salmon,The RAS Atlantic Salmon facility,Animals
GCA_004136095.1_ASM413609v1,Bovine,bovine pre-evisceration carcass,Livestock
GCA_000300295.4_ASM30029v4,NA,Coho salmon,Animals
GCA_003660105.1_ASM366010v1,bovine,Aborted bovine fetus; brain,Livestock
GCA_001953695.1_ASM195369v1,Homo sapiens,stool,Humans
GCA_000969685.1_ASM96968v1,NA,NA,NA
GCA_008727795.1_ASM872779v1,NA,sediment collected at a cold seep field,Sediment
GCA_900037355.1_Cchauvoei_JF4335,NA,NA,NA
GCA_003641165.1_ASM364116v1,NA,fermented cassava roots (fufu),Food
GCA_004001205.1_ASM400120v1,Apis mellifera,NA,Animals
GCA_013394025.1_ASM1339402v1,NA,pineapple,Agriculture
GCA_009829985.1_ASM982998v1,Arvelius albopunctatus,NA,Animals
GCA_005705635.1_ASM570563v1,Homo sapiens,NA,Humans
GCA_000292415.1_ASM29241v1,NA,NA,NA
GCA_002966555.1_ASM296655v1,tomato,NA,Agriculture
GCA_003203655.1_ASM320365v1,NA,NA,NA
GCA_008932115.1_ASM893211v1,Beta vulgaris,NA,Plants
GCA_001686985.1_ASM168698v1,Robinia pseudoacacia,NA,Plants
GCA_001951135.2_ASM195113v2,NA,NA,NA
GCA_000759555.1_ASM75955v1,NA,NA,NA
GCA_007748095.1_ASM774809v1,NA,polystyrene,Human-impacted
GCA_000340885.1_ASM34088v1,NA,NA,NA
GCA_001297935.1_ASM129793v1,Crassostrea gigas,larvae from a hatchery,Animals
GCA_001511815.1_TUE45,NA,soil,Soil
GCA_011765175.1_ASM1176517v1,Avena sativa,Infected leaves,Agriculture
GCA_000507225.1_ASM50722v1,NA,NA,NA
GCA_004120115.1_ASM412011v1,Homo sapiens,sputum,Humans
GCA_003330945.1_ASM333094v1,Phoca largha,blood,Animals
GCA_002012225.1_ASM201222v1,Homo sapiens,NA,Humans
GCA_002110815.1_Cjejuni.CJ500CC21_v1.0,Homo sapiens,Feces,Humans
GCA_002248085.2_ASM224808v2,Swine,Rectal swab,Livestock
GCA_000024965.1_ASM2496v1,NA,NA,NA
GCA_010183605.1_ASM1018360v1,Homo sapiens,sputum,Humans
GCA_000511405.1_ASM51140v1,NA,AFB-diseased colony,NA
GCA_000006605.1_ASM660v1,NA,NA,NA
GCA_001028335.1_gdodcwi03_v01,Homo sapiens,wound,Humans
GCA_001046795.1_ASM104679v1,Capra hircus,goat rumen,Livestock
GCA_005576615.1_ASM557661v1,NA,Salt mine,Human-impacted
GCA_009387795.1_ASM938779v1,Homo sapiens,stool,Humans
GCA_000516115.1_gabuh107pb_v01,Homo sapiens,sputum,Humans
GCA_011045335.1_ASM1104533v1,Homo sapiens,NA,Humans
GCA_003325275.1_ASM332527v1,NA,NA,NA
GCA_012167075.1_ASM1216707v1,NA,milk,Food
GCA_012169405.1_ASM1216940v1,Homo sapiens,blood,Humans
GCA_001019275.2_ASM101927v2,Homo sapiens,NA,Humans
GCA_009730395.1_ASM973039v1,Homo sapiens,gastrointestinal tract,Humans
GCA_001664265.1_ASM166426v1,Phaseolus vulgaris,legume-root nodule,Agriculture
GCA_001077675.1_ASM107767v1,Homo sapiens,NA,Humans
GCA_001704955.2_ASM170495v2,NA,freshwater,Freshwater
GCA_002211725.1_ASM221172v1,NA,wastewater,Human-impacted
GCA_000417225.2_ASM41722v2,NA,NA,NA
GCA_001890385.1_ASM189038v1,NA,soil,Soil
GCA_000828575.1_ASM82857v1,NA,NA,NA
GCA_001274575.1_ASM127457v1,NA,NA,NA
GCA_002952115.1_ASM295211v1,NA,The bacterial strain was isolated from a naturally-occurring; multispecies; methanol-fed biofilm; adapted in a marine system under denitrifying conditions,Marine
GCA_002836735.1_ASM283673v1,NA,feces,Humans
GCA_001610975.1_ASM161097v1,NA,NA,NA
GCA_000283855.1_ASM28385v1,NA,NA,NA
GCA_009883735.1_ASM988373v1,Cucurbita maxima,NA,Agriculture
GCA_010727325.1_ASM1072732v1,NA,NA,NA
GCA_003259675.1_ASM325967v1,Homo sapiens,knee wound,Humans
GCA_004348195.1_ASM434819v1,NA,fruit fly,Animals
GCA_002302355.1_ASM230235v1,alfalfa,alfalfa nodule,Agriculture
GCA_000178395.2_ASM17839v2,NA,NA,NA
GCA_000417085.2_ASM41708v2,NA,NA,NA
GCA_009740085.1_ASM974008v1,Homo sapiens,NA,Humans
GCA_002761275.1_ASM276127v1,Homo sapiens,Peritoneal fluid,Humans
GCA_002113845.3_ASM211384v3,Homo sapiens,Respiratory sample - sputum,Humans
GCA_001445575.1_ASM144557v1,NA,glacial stream water,Freshwater
GCA_900497025.1_ASM90049702v1,NA,NA,NA
GCA_000023005.1_ASM2300v1,Amblyomma variegatum (cattle tick),NA,Animals
GCA_000724425.2_BKT29909_1.0,chicken,caecum,Livestock
GCA_013367795.1_ASM1336779v1,Homo sapiens,clinical isolate,Humans
GCA_002300165.1_ASM230016v1,NA,NA,NA
GCA_013114955.1_ASM1311495v1,Homo sapiens,tracheal aspirate,Humans
GCA_000006685.1_ASM668v1,NA,NA,NA
GCA_011578285.1_ASM1157828v1,Equus kiang,NA,Animals
GCA_004353425.1_ASM435342v1,Homo sapiens,patient's blood plasma,Humans
GCA_002386225.2_ASM238622v2,Homo sapiens,Urine,Humans
GCA_003454795.1_ASM345479v1,NA,surface water of Lake Taihu,Freshwater
GCA_003574215.1_ASM357421v1,NA,soil around hot spring,Soil
GCA_002906875.1_ASM290687v1,Apis mellifera,beehive,Animals
GCA_002074155.1_ASM207415v1,NA,NA,NA
GCA_000967345.1_ASM96734v1,NA,NA,NA
GCA_002843525.1_ASM284352v1,NA,meat processing facility,Human-impacted
GCA_000832805.1_ASM83280v1,Homo sapiens,Clinical sample,Humans
GCA_000024565.1_ASM2456v1,NA,NA,NA
GCA_003323835.1_ASM332383v1,NA,heavy metal polluted soil,Human-impacted
GCA_001857985.1_ASM185798v1,NA,sediment sample from the Liaodong Bay of the Bohai Sea,Sediment
GCA_002863905.1_ASM286390v1,NA,activated sludge from pharmaceutical waste in Shaoxing China,Human-impacted
GCA_002239895.2_ASM223989v2,Homo sapiens,Blood,Humans
GCA_009734325.1_ASM973432v1,Penaeus vannamei,hepatopancreas,Animals
GCA_003970675.1_ASM397067v1,NA,scallop,Food
GCA_004120015.1_ASM412001v1,Homo sapiens,sputum,Humans
GCA_000747585.1_ASM74758v1,NA,EFB-infected honey bee colony,Animals
GCA_000987005.3_YPES002-SEQ-1-ASM-1,NA,NA,NA
GCA_002587885.1_ASM258788v1,Homo sapiens,Rectal,Humans
GCA_003095695.1_ASM309569v1,NA,intestine,Humans
GCA_003073995.1_ASM307399v1,NA,NA,NA
GCA_002812885.1_ASM281288v1,Homo sapiens,urine,Humans
GCA_003574925.1_ASM357492v1,NA,Chinese sausages,Food
GCA_000262655.1_ASM26265v1,Homo sapiens,female gastric cancer patient,Humans
GCA_009497675.1_ASM949767v1,Mink,NA,Animals
GCA_002844335.1_ASM284433v1,NA,NA,NA
GCA_013168115.1_ASM1316811v1,Homo sapiens,NA,Humans
GCA_001855315.1_ASM185531v1,Homo sapiens,Hospital,Humans
GCA_003444775.1_ASM344477v1,Ficus religiosa L.,rhizosphere,Soil
GCA_001042715.1_ASM104271v1,NA,NA,NA
GCA_004006175.1_ASM400617v1,NA,deep seawater,Marine
GCA_009913455.1_ASM991345v1,pig,NA,Livestock
GCA_011995665.1_ASM1199566v1,Solanum lycopersicum (tomato),tomato with bacterial canker symptoms at Pichidegua,Agriculture
GCA_002442935.1_ASM244293v1,NA,Korean fermented food,Food
GCA_004006375.1_ASM400637v1,NA,NA,NA
GCA_013085025.1_ASM1308502v1,Homo sapiens,rectal swab from healthy college student,Humans
GCA_012570965.1_ASM1257096v1,Donacia versicolorea,Beetle Malpighian tubules,Animals
GCA_001293505.1_ASM129350v1,Homo sapiens; female,blood-culture,Humans
GCA_013306655.1_ASM1330665v1,tomato,NA,Agriculture
GCA_006741185.1_BucNmo_1.0,Nipponaphis monzeni,NA,Animals
GCA_002863685.1_ASM286368v1,NA,cattle,Livestock
GCA_003692695.1_ASM369269v1,NA,NA,NA
GCA_004138665.1_ASM413866v1,pneumoniae,cancer patient stool,Humans
GCA_000019205.1_ASM1920v1,NA,NA,NA
GCA_001956715.1_ASM195671v1,Homo sapiens,male,Humans
GCA_004353465.1_ASM435346v1,Homo sapiens,patient's blood plasma,Humans
GCA_900660515.1_50766_E01-3,NA,Respiratory Tract,Humans
GCA_005234135.1_ASM523413v1,NA,Turban shell,Animals
GCA_009650335.1_ASM965033v1,NA,environment swab,NA
GCA_009857075.1_ASM985707v1,Homo sapiens,feces,Humans
GCA_000258365.1_ASM25836v1,bovine,feces,Livestock
GCA_009913855.1_ASM991385v1,NA,young radish kimchi,Food
GCA_003945385.1_ASM394538v1,NA,NA,NA
GCA_003095675.1_ASM309567v1,NA,intestine,Humans
GCA_003812105.1_ASM381210v1,Homo sapiens,Bronchoalveolar lavage from right lung,Humans
GCA_002983785.1_ASM298378v1,Homo sapiens,Blood,Humans
GCA_005222205.1_ASM522220v1,NA,Agricultural field,Soil
GCA_013364335.1_ASM1336433v1,NA,marine sediment,Sediment
GCA_003956005.1_ASM395600v1,Homo sapiens,Bronchoalveolar lavage,Humans
GCA_002813775.1_ASM281377v1,NA,meromictic lake,Freshwater
GCA_001904615.1_ASM190461v1,NA,water,Freshwater
GCA_001932815.1_ASM193281v1,Salmo salar,Liver,Animals
GCA_000494915.1_ASM49491v1,NA,NA,NA
GCA_004142705.2_ASM414270v2,NA,NA,NA
GCA_013372425.1_ASM1337242v1,Homo sapiens,urine,Humans
GCA_003986675.1_ASM398667v1,Homo sapiens,NA,Humans
GCA_003589805.1_ASM358980v1,NA,ground turkey,Food
GCA_000478255.2_ASM47825v2,NA,frozen peas,Food
GCA_001456235.1_ASM145623v1,Citrus,NA,Agriculture
GCA_011617105.1_ASM1161710v1,NA,plant rhizosphere,Soil
GCA_013168075.1_ASM1316807v1,Homo sapiens,NA,Humans
GCA_001643275.2_ASM164327v2,Salmo salar,kidney,Animals
GCA_008931605.1_ASM893160v1,Homo sapiens,clinical sample,Humans
GCA_009720425.1_ASM972042v1,Homo sapiens,adult male sputum,Humans
GCA_004011905.1_ASM401190v1,NA,Polluted soil,Human-impacted
GCA_900088705.1_26872B01,NA,NA,NA
GCA_000767035.1_ASM76703v1,goat,NA,Livestock
GCA_001704615.3_ASM170461v3,NA,sewage,Human-impacted
GCA_012897595.1_ASM1289759v1,Homo sapiens,NA,Humans
GCA_000558985.1_Ba9080G_1.0,NA,soil,Soil
GCA_000972785.3_ASM97278v3,NA,soil litter close to Oxalis sp.,Soil
GCA_011466875.1_ASM1146687v1,Gallus gallus,lame broiler,Livestock
GCA_003030105.1_ASM303010v1,NA,biological fluid,NA
GCA_000007245.1_ASM724v1,NA,NA,NA
GCA_002237555.1_ASM223755v1,Skeletonema marinoi strain ST54,Top-layer sediments,Sediment
GCA_009708835.1_ASM970883v1,Salmo salar,NA,Animals
GCA_013389555.1_ASM1338955v1,Gallus gallus domesticus,cecal contents of broiler chicken,Livestock
GCA_004119935.1_ASM411993v1,Homo sapiens,Abdominal drainage tube,Humans
GCA_004136055.1_ASM413605v1,Bovine,bovine hide,Livestock
GCA_003325055.1_ASM332505v1,NA,NA,NA
GCA_003571605.1_ASM357160v1,NA,NA,NA
GCA_000576125.1_ASM57612v1,NA,NA,NA
GCA_003713105.1_ASM371310v1,NA,Fermented corn meal,Food
GCA_002355855.1_ASM235585v1,NA,NA,NA
GCA_001572685.1_ASM157268v1,pig,NA,Livestock
GCA_002759235.1_ASM275923v1,Phaseolus vulgaris,NA,Agriculture
GCA_009498155.1_ASM949815v1,Pig,Rectal swab,Livestock
GCA_005280395.1_ASM528039v1,Homo sapiens,blood,Humans
GCA_001455105.1_ASM145510v1,Homo sapiens,subgingival dental plaque,Humans
GCA_011058655.1_ASM1105865v1,Homo sapiens,Urethral swab,Humans
GCA_005707015.1_ASM570701v1,Homo sapiens,NA,Humans
GCA_000144955.1_ASM14495v1,NA,NA,NA
GCA_013030095.1_ASM1303009v1,NA,NA,NA
GCA_003433295.1_ASM343329v1,Homo sapiens,curette,Humans
GCA_003717455.1_ASM371745v1,NA,NA,NA
GCA_006874785.1_ASM687478v1,Homo sapiens,Feces of patient with hemolytic uremic syndrome,Humans
GCA_005887635.2_ASM588763v2,NA,Deep seawater from Mariana Trench,Marine
GCA_002073615.2_ASM207361v2,NA,NA,NA
GCA_000319145.1_ASM31914v1,NA,NA,NA
GCA_003590625.1_ASM359062v1,Musa sp.,plants with Moko disease,Agriculture
GCA_001886875.1_ASM188687v1,NA,NA,NA
GCA_000328665.1_ASM32866v1,NA,anaerobic top layer (5 to 10 cm) of sediment in a eutrophic freshwater pond (-0.5 m depth),Sediment
GCA_003595465.1_ASM359546v1,Homo sapiens,Sputum,Humans
GCA_012169275.1_ASM1216927v1,Chroicocephalus novaehollandiae (Australian Silver Gull chick),NA,Animals
GCA_012934555.1_ASM1293455v1,Homo sapiens,rectal swab from healthy college student,Humans
GCA_013391345.1_ASM1339134v1,Homo sapiens,clinical isolate,Humans
GCA_003346775.1_ASM334677v1,NA,Mussels,Animals
GCA_000282795.3_ASM28279v3,Homo sapiens,blood,Humans
GCA_000298375.2_ASM29837v2,Amazona sp.,lungs of a diseased parakeet,Animals
GCA_001636275.1_ASM163627v1,NA,bioreactor,Human-impacted
GCA_000147335.1_ASM14733v1,NA,fresh water in rice field,Freshwater
GCA_002906595.1_ASM290659v1,Homo sapiens,NA,Humans
GCA_002073415.2_ASM207341v2,Homo sapiens,Blood,Humans
GCA_002117265.1_ASM211726v1,NA,palm wine,Food
GCA_008329905.1_ASM832990v1,NA,Stream sediment,Sediment
GCA_005937845.2_ASM593784v2,NA,soil,Soil
GCA_900005615.1_JCM7685,NA,soil,Soil
GCA_000961355.1_ASM96135v1,citrus spp.,citrus infected tissue,Agriculture
GCA_002836335.1_ASM283633v1,NA,sea ice,Marine
GCA_002285515.1_ASM228551v1,Lactuca sativa L. var. longifolia,NA,Agriculture
GCA_001729225.1_ASM172922v1,Homo sapiens,blood culture,Humans
GCA_001908435.2_ASM190843v2,Trachinotus ovatus,liver of diseased deep sea cage-cultured grouper,Animals
GCA_001721025.1_ASM172102v1,Homo sapiens,human blood,Humans
GCA_002142615.1_ASM214261v1,Neophocaena asiaeorientalis,anal swab,Animals
GCA_012151035.1_ASM1215103v1,Homo sapiens,feces,Humans
GCA_002853435.2_ASM285343v2,Homo sapiens,NA,Humans
GCA_003814425.1_ASM381442v1,Homo sapiens,NA,Humans
GCA_001939965.1_ASM193996v1,Citrus sinensis,leaf,Agriculture
GCA_002078995.2_ASM207899v2,NA,Fermented Meat Product,Food
GCA_000318685.1_ASM31868v1,NA,NA,NA
GCA_001717625.1_ASM171762v1,NA,Turkey feces,Livestock
GCA_004684325.1_ASM468432v1,NA,NA,NA
GCA_000318565.1_ASM31856v1,NA,NA,NA
GCA_000967405.1_ASM96740v1,NA,NA,NA
GCA_013348905.1_ASM1334890v1,NA,telephone of Nurse station,Human-impacted
GCA_009708995.1_ASM970899v1,Salmo salar,NA,Animals
GCA_002812665.1_ASM281266v1,Homo sapiens,urine,Humans
GCA_007556795.1_ASM755679v1,NA,NA,NA
GCA_005014075.1_ASM501407v1,Homo sapiens,Clinical: Human (Homo sapiens),Humans
GCA_003860465.1_ASM386046v1,NA,R2A medium,Human-impacted
GCA_002368155.1_ASM236815v1,NA,NA,NA
GCA_001618125.1_ASM161812v1,Homo sapiens,laboratory,Humans
GCA_001655455.1_ASM165545v1,Homo sapiens,NA,Humans
GCA_002357335.1_ASM235733v1,Homo sapiens,Human stomach,Humans
GCA_007814115.1_ASM781411v1,NA,Milker's hand,Humans
GCA_000168875.3_ASM16887v3,NA,NA,NA
GCA_004224885.2_ASM422488v2,NA,NA,NA
GCA_001542815.1_ASM154281v1,NA,NA,NA
GCA_011067245.1_ASM1106724v1,Homo sapiens,NA,Humans
GCA_000203935.1_ASM20393v1,NA,NA,NA
GCA_002196535.1_ASM219653v1,NA,mangoes,Agriculture
GCA_007113525.2_ASM711352v2,NA,Micro soil grain,Soil
GCA_000940785.1_ASM94078v1,NA,soil,Soil
GCA_003019965.1_ASM301996v1,Homo sapiens,Cystic fibrosis patient,Humans
GCA_004136355.1_ASM413635v1,Homo sapiens,right leg muscle; right leg fascia; central venous catheter; dialysis catheter; surface of the left leg ulcer; and left lower leg,Humans
GCA_900087615.2_WHOM,NA,NA,NA
GCA_004794235.2_ASM479423v2,NA,NA,NA
GCA_008931685.1_ASM893168v1,NA,Shower 3,Human-impacted
GCA_000178975.2_ASM17897v2,NA,NA,NA
GCA_003814305.1_ASM381430v1,NA,Natural whey culture from Gruyere cheese,Food
GCA_000091405.1_ASM9140v1,NA,NA,NA
GCA_009649075.1_ASM964907v1,plateau pika,NA,Animals
GCA_003717615.1_ASM371761v1,NA,NA,NA
GCA_000147735.3_ASM14773v3,NA,NA,NA
GCA_002240155.1_ASM224015v1,Homo sapiens,sputum,Humans
GCA_007185035.1_ASM718503v1,Equus caballus,pus,Livestock
GCA_003967015.1_ASM396701v1,NA,Pond,Freshwater
GCA_900497475.1_ASM90049747v1,NA,NA,NA
GCA_009664595.1_ASM966459v1,Homo sapiens,NA,Humans
GCA_003612975.1_ASM361297v1,Solanum melongena,Eggplant plant with bacterial wilt symptoms,Agriculture
GCA_002837885.3_ASM283788v3,Homo sapiens,blood,Humans
GCA_003204465.1_ASM320446v1,NA,NA,NA
GCA_003522785.1_ASM352278v1,Homo sapiens,Secretion,Humans
GCA_002355995.1_ASM235599v1,NA,geothermal power plant,Human-impacted
GCA_001990085.1_ASM199008v1,NA,Rainbow trout,Animals
GCA_001889165.1_ASM188916v1,NA,marine,Marine
GCA_003429405.1_ASM342940v1,Homo sapiens,Korean adult feces,Humans
GCA_000834495.1_ASM83449v1,NA,Human clinical sample,Humans
GCA_000227705.3_ASM22770v3,NA,NA,NA
GCA_001939885.2_ASM193988v2,Homo sapiens,drainage samples from liver abscess,Humans
GCA_000227625.1_ASM22762v1,Homo sapiens,cerebrospinal fluid of a neonate with meningitis,Humans
GCA_009664125.2_ASM966412v2,Vitis vinifera,NA,Agriculture
GCA_009432915.1_ASM943291v1,NA,meat,Food
GCA_009361735.1_ASM936173v1,Homo sapiens,cerebrospinal fluid of patient with,Humans
GCA_009363775.1_ASM936377v1,NA,Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C,Human-impacted
GCA_000194765.1_ASM19476v1,NA,homemade koumiss,Food
GCA_010232525.1_ASM1023252v1,NA,air,Terrestrial
GCA_000648515.1_ASM64851v1,NA,sink aerator,Human-impacted
GCA_003111885.2_ASM311188v2,Homo sapiens,feces,Humans
GCA_000020885.1_ASM2088v1,NA,NA,NA
GCA_002865845.1_ASM286584v1,NA,NA,NA
GCA_003073895.1_ASM307389v1,NA,NA,NA
GCA_002810285.1_ASM281028v1,Homo sapiens,pharyngeal secretions,Humans
GCA_002220285.1_ASM222028v1,NA,Salad,Food
GCA_003324695.1_ASM332469v1,Homo sapiens,hospitalized patients,Humans
GCA_000021845.1_ASM2184v1,NA,NA,NA
GCA_000520035.1_ASM52003v1,Homo sapiens,feces; clinical sample,Humans
GCA_009431955.1_ASM943195v1,NA,cattle,Livestock
GCA_001922365.1_ASM192236v1,NA,NA,NA
GCA_001902555.1_ASM190255v1,NA,Coal Bed,Terrestrial
GCA_013459835.1_ASM1345983v1,shrimp,NA,Animals
GCA_000022505.1_ASM2250v1,NA,NA,NA
GCA_003073235.1_ASM307323v1,Homo sapiens,NA,Humans
GCA_003202275.1_ASM320227v1,Galaxea fascicularis (stony coral),NA,Animals
GCA_001277275.1_ASM127727v1,NA,milk,Food
GCA_000317555.1_ASM31755v1,NA,moderate hot spring,Terrestrial
GCA_000014065.1_ASM1406v1,NA,NA,NA
GCA_000013065.1_ASM1306v1,NA,NA,NA
GCA_003193685.1_ASM319368v1,NA,NA,NA
GCA_001708555.1_ASM170855v1,NA,Fecal samples from slaughtered sheep,Livestock
GCA_003812245.1_ASM381224v1,Homo sapiens,NA,Humans
GCA_007954565.1_ASM795456v1,NA,kimchi,Food
GCA_000191665.1_ecmda7,Gallus gallus domesticus,a healthy broiler chicken at farm,Livestock
GCA_007990405.1_ASM799040v1,Homo sapiens,blood,Humans
GCA_000784875.3_ASM78487v3,NA,shelf,Human-impacted
GCA_000012805.1_ASM1280v1,NA,NA,NA
GCA_000299355.1_ASM29935v1,NA,NA,NA
GCA_001027105.1_ASM102710v1,Homo sapiens,NA,Humans
GCA_012225225.1_ASM1222522v1,NA,broiler chicken,Livestock
GCA_008642395.1_ASM864239v1,Bivalve mollusk,marine environment,Animals
GCA_002855415.1_ASM285541v1,NA,clinical patient,Humans
GCA_000298495.2_ASM29849v2,Ondatra zibethicus,muskrat during outbreak,Animals
GCA_003717735.1_ASM371773v1,NA,NA,NA
GCA_001548415.1_ASM154841v1,Homo sapiens,human peritoneal fluid,Humans
GCA_006384875.1_ASM638487v1,NA,Chives,Agriculture
GCA_000015745.1_ASM1574v1,NA,NA,NA
GCA_001280225.1_ASM128022v1,Aphis glycines,whole body,Animals
GCA_001702215.1_ASM170221v1,NA,brewery environment,Human-impacted
GCA_002189675.2_ASM218967v2,NA,peony rhizosphere,Soil
GCA_002944405.1_ASM294440v1,Phaseolus vulgaris,plant nodule in agricultural field,Agriculture
GCA_000334875.3_ASM33487v3,NA,contaminated soil,Human-impacted
GCA_001611405.1_ASM161140v1,Homo sapiens,26-year old man with an implant associated osteitis,Humans
GCA_003966405.1_ASM396640v1,Homo sapines,NA,Humans
GCA_009363175.1_ASM936317v1,Homo sapiens,rectum,Humans
GCA_001746555.1_ASM174655v1,NA,feces,Humans
GCA_000499645.1_IRBG74,NA,NA,NA
GCA_009913435.1_ASM991343v1,NA,Fresh water,Freshwater
GCA_003812065.1_ASM381206v1,Homo sapiens,NA,Humans
GCA_002442995.2_ASM244299v2,Homo sapiens,Human stool sample,Humans
GCA_003568565.1_ASM356856v1,bacteria,air in Laboratory,Human-impacted
GCA_013389635.1_ASM1338963v1,Homo sapiens,NA,Humans
GCA_000962775.1_ASM96277v1,Homo sapiens,skin,Humans
GCA_003324955.1_ASM332495v1,NA,NA,NA
GCA_900183975.1_PD885.1,NA,NA,NA
GCA_005221705.1_ASM522170v1,NA,cattle,Livestock
GCA_012570535.1_ASM1257053v1,Donacia semicuprea,Beetle Malpighian tubules,Animals
GCA_013346845.1_ASM1334684v1,NA,NA,NA
GCA_001635995.1_ASM163599v1,NA,vomit of food poisoning patient,Humans
GCA_000212715.2_ASM21271v2,porcine,porcine neonatal diarrhea,Livestock
GCA_012220945.1_ASM1222094v1,NA,duck meat,Food
GCA_001988935.1_ASM198893v1,NA,milk,Food
GCA_002813595.1_ASM281359v1,Homo sapiens,liver abscess,Humans
GCA_001713475.1_ASM171347v1,NA,Algal phycosphere,Plants
GCA_000196615.1_ASM19661v1,NA,NA,NA
GCA_006965465.1_ASM696546v1,NA,NA,NA
GCA_000236085.3_SpiMel2.0,NA,SP4 medium; Universite de Rennes,Human-impacted
GCA_900660535.1_50681_A01-3,NA,not available: to be reported later,NA
GCA_004328555.1_ASM432855v1,NA,human skin swab,Humans
GCA_003354965.1_ASM335496v1,Homo sapiens,Foci,Humans
GCA_000245355.1_ASM24535v1,NA,NA,NA
GCA_002196475.1_ASM219647v1,Homo sapiens,urine; urinary tract infection,Humans
GCA_003856695.1_ASM385669v1,Homo sapiens,feces,Humans
GCA_002357375.1_ASM235737v1,Homo sapiens,Human stomach,Humans
GCA_009739695.1_ASM973969v1,Homo sapiens,blood,Humans
GCA_003856615.1_ASM385661v1,Homo sapiens,UTI,Humans
GCA_000019925.1_ASM1992v1,NA,NA,NA
GCA_000008505.1_ASM850v1,NA,NA,NA
GCA_011801285.1_ASM1180128v1,NA,Industrial,Human-impacted
GCA_000012025.1_ASM1202v1,NA,NA,NA
GCA_000010665.1_ASM1066v1,NA,NA,NA
GCA_003031975.1_ASM303197v1,NA,NA,NA
GCA_900217235.1_DPRO_PRJEB22548_v1,NA,NA,NA
GCA_003113475.1_ASM311347v1,Ictalurus punctatus,NA,Animals
GCA_008727695.1_ASM872769v1,Homo sapiens,rectal swab,Humans
GCA_003812165.1_ASM381216v1,Homo sapiens,Throat (pharynx),Humans
GCA_013171305.1_ASM1317130v1,Gallus gallus,feces,Livestock
GCA_001936175.1_ASM193617v1,NA,NA,NA
GCA_002000005.1_ASM200000v1,NA,Knife,Human-impacted
GCA_008118325.1_ASM811832v1,NA,Rotten eggs,Food
GCA_007990525.1_ASM799052v1,Homo sapiens,Saliva of a healthy person,Humans
GCA_000009745.1_ASM974v1,NA,NA,NA
GCA_000328545.1_ASM32854v1,NA,NA,NA
GCA_001750805.1_ASM175080v1,Homo sapiens,urine,Humans
GCA_005222265.1_ASM522226v1,NA,cattle,Livestock
GCA_000015845.1_ASM1584v1,NA,NA,NA
GCA_000715175.2_ASM71517v2,NA,activated sludge of a wastewater treatment facility,Human-impacted
GCA_005221985.1_ASM522198v1,NA,cattle,Livestock
GCA_002163975.1_ASM216397v1,NA,Nan Madol; Pohnpei soil,Soil
GCA_010917815.1_ASM1091781v1,goose,stool,Livestock
GCA_009913555.1_ASM991355v1,NA,kimchi,Food
GCA_003597735.1_ASM359773v1,Homo sapiens,sputum,Humans
GCA_004799625.1_ASM479962v1,NA,Korean salt-fermented food,Food
GCA_004328905.1_ASM432890v1,NA,chicken meat,Food
GCA_013267145.1_ASM1326714v1,Homo sapiens,clinical isolate,Humans
GCA_900016785.1_BTsPazieg1.0,Tuberolachnus salignus,NA,Animals
GCA_000534935.2_ASM53493v2,Hippopotamus amphibius,NA,Animals
GCA_002173775.1_ASM217377v1,NA,food,Food
GCA_900249705.1_CBM2585,NA,NA,NA
GCA_001931575.1_ASM193157v1,NA,comminuted chicken,Food
GCA_000283515.1_ASM28351v1,NA,NA,NA
GCA_002249995.1_ASM224999v1,Homo sapiens,Rectal swab,Humans
GCA_000020405.1_ASM2040v1,NA,NA,NA
GCA_013427035.1_ASM1342703v1,Vitis vinifera L. cv. Seto Giants,sterilized root of grapevine nursary stock,Agriculture
